,summary,severity
2,Forward references unilaterally dissallowed,major
4,Couldn't include resource path to java classpath,major
5,deprecated interfaces are not allways recognized,minor
6,Create Jar fails with no warning if jar read-only,minor
7,Cannot create project with comma characters in project path,major
8,Organize Imports leaves an unnecessary import of inner interface [code manipulation],minor
10,"JUnit Tree hierachy wrong ifTestSuite name contains a comma (,) [JUnit]",minor
11,Can no longer delete classes from the Java Browsing view in 2.1 M3,minor
13,"IllegalArgumentException ""Index out of bounds""  in Java Editor",major
14,"Possible to insert JavaDoc comments with ""  *"" on the front",minor
16,Out of Memory indexing new plugins,critical
17,NPE opening type hierarchy for binary type,major
18,Default value 'f' should not be in pruning list for field accessor generation,major
19,IllegalArgumentException after pasting,critical
20,Outline pop-up: flicker when filtering,minor
22,Eclipse Project Referencing does not appear to work correctly or behave uniformly.,major
23,ClassCastException from codeassist,major
25,Refactoring: Moving multiple static arrays broke references to array.length [refactoring],major
26,something leaks StyleRanges and Lines,major
27,Java editor preferences dialog cropped,minor
29,inline constant- AssertionFailedException [refactoring],major
30,Corrupted Java editors,blocker
31,"AST.lineNumber(position) is not working, if the class didn't have a new line at the end of file.",major
32,Search: NPE in goto marker action,major
33,incorrect formatting of empty array initialization blocks,minor
35,"Outline view won't sync editor unless ""Go Into Top Level Type"" is selected",minor
36,[misc] GUI freezes when text selection causes screen to scroll,major
37,instance filter tests not working,major
39,The watch expressions don't persist across workbench invocations,critical
40,misspelled variable name proposals for array with type name ending in 'y',minor
41,ClassCircularityError forces ClassNotFoundException's,major
42,Performance - getTypeSignature should not rescan element names,critical
43,ClassCastException during code assist,major
46,"""AddImport"" creates syntactically incorrect code [code manipulation]",minor
48,Unable to launch on J9,critical
50,[typing] Internal errors in log,major
53,Early plugin activation of HelpPlugin,major
54,Cannot add classpath variable to project,major
55,Bogus ClasspathVariableInitializer is found in JavaModel,major
56,Auto-indent levels broken for cut and paste,major
58,review usage of exists in refactoring/reorg,critical
59,Cursor positioned incorrectly after paste - Smart Paste problem,major
60,Eclipse hangs when copying to clipboard in outline view,critical
61,Debug doesn't work,major
62,Organize Import ordering differs for different VMs,major
63,Types view inconsistant after copy of CU with inner member [browsing],major
65,Stack overflow causes startup crash,critical
69,Comments using /* */ in code has strange behavior,major
71,Too many threads and asyncExec to execute computeDetail(),major
72,Organize Imports not working in Type with compilation errors,major
74,wrong suspended status when attaching late to vm,major
75,infinite loop?,critical
76,Infinite loop setting breakpoint,major
77,IllegalArgumentException with multiple editors when using visible regions,critical
78,Incremental compile time = complete build time,blocker
82,Stack overflow in java editor,critical
83,JDTCompilerAdapter and compiler.batch.Main out of sync in I20021210 build,blocker
84,Folder not refreshed after adding a file,major
