,summary,severity
0,DBCS-PDE:Pluin Manifest editor cannot display DBCS char in source page. (1GKBDLT),critical
1,"DBCS: Got ""Exception in thread"" when launch a plugin project code at ""Runtime Workbench instance""   (1GKBKGA)",critical
2,New project Wizard should have focus in Text (1GF645U),minor
3,New folder created in Library Content pane even when 'No'  is selected in Folder creation,minor
4,TVT1: Runtime instance of workbench ignores NL fragments,major
5,TVT Hardcoded string in Plug-in list,minor
6,TVT PDE Prefenence number selected incorrect,trivial
8,"TVT: Next button should be re-disabled when returning to Fragment Code Generators page and reselecting ""Create blank fragment""",trivial
9,Clearly distinguish development and runtime workbench on prferences page,minor
10,Computed classpath is incorrect when referencing workspace plug-ins,major
12,Sometimes get duplicate entires in build.properties file,minor
15,Platform extension points should say plug-in extension points,trivial
16,Mnemonics on plugin editor's pages conflict with menus,critical
17,NPE using Advanced Tracing in PDE preference page.,blocker
18,Lack of information does not let user create a Component project,major
20,Target eclipse picks up configurations in host (first instance),major
21,Commenting portions of plugin.xml not available in Forms UI,major
22,"SH: progress indicates ""setting classpath"" twice",trivial
24,Self hosting does not work when installation path has blanks,major
25,No descriptions on any of the manifest editor tabs,minor
26,"Unable to bring up the context menu for the ""build path""",major
27,Decorators cause eager plugin activation,major
29,Cannot run Runtime-Workbench on build 20020212,major
30,PDE Selfhosting: Disabling launcher if workspace is open is bad,major
31,PDE Launcher launches wrong plug-in in default setup,major
32,not able to launch eclipse with new integrated PDE selfhosting,major
33,NPE in PDE tracing preferences,major
34,Exception when using Debug with Runtime Workbench,major
35,Runtime Workbench does not load documentation plugins (non java plugins) from the workspace.,major
36,Walkback importing plugins from installation,major
37,PDE Plugin creation fails - bad classpath?,major
38,Target Platform pref page - select all/Not in workspace - bad toggle selection,minor
39,Import External Plug-ins Wizard inconsistency,minor
40,Delete of one (of two) Wizard descriptions makes all disappear,minor
41,Project detected as binary during import,critical
43,"Convert Java to Plug-in Projects: selecting any selects all, somewhat stealthily",critical
44,"Toggle plug-ins choice int ""Runtime Workbench Laucher """,minor
45,PDE activation fails due to invalid thread access,critical
46,IllegalArgumentException on,major
47,ConcurrentModificationException when switching to source in plugin.xml editor,major
48,NPE caused by PDE editor,major
49,NPE clicking New button on dependencies page,major
50,NPE when starting the run-time workbench,critical
52,NPE replacing project with latest,major
53,Typo in schema definition for org.eclipse.core.resources.natures,minor
54,invalid launch configuration with fresh workspace,critical
55,cannot see file->import->plugins,major
56,X-Window Connection freezes,major
57,NPE when creating new plugin project,critical
58,Run-time Workbench Plug-ins and Fragments tab: why expanded,minor
59,Can't launch Eclipse anymore,major
60,Problem Occurred: Plug-in import,major
61,Widget is disposed error,critical
63,PDE allows modification  of  Binary Projects,major
64,Cannot build plug-ins that require SWT,critical
65,.options file is out of sync.,major
66,Property version in feature build.xml has to be renamed to feature.version,major
67,PDE builders not found during builds,major
68,Can't view XML file from repositories view,major
69,Plug-in import: unable to replace fragment projects,critical
70,"""Problem Occured"" dialog pops up, while deleting a plug-in project",trivial
71,"New library gets created, while renaming the exsisting library",minor
72,PDE config complains about unsaved changes even when there are none,major
73,Missing parameters in formatted string,trivial
74,Create Plug-in JARs - compiler / classpath error?,major
75,Fails to create the plugin and fragment jar files,major
76,NPE creating simple plugin wizard,major
77,XML Editor sample does not work,major
78,Problem importing plugins and fragments,critical
79,"Opening the ""PDE Runtime""->""Error Log"" view fails",major
80,NPE in Custom Plug-in Wizard,major
81,Untranslated extension name in Readme extensions view in about dialog.,major
82,PDE code gen wizard - perspective extensions incorrect,trivial
83,"Use ""new"" default extension for schemas (.exsd) in wizard",trivial
84,zip.distribution is missing call to gather.bin.parts,blocker
85,plugin not taken from workspace,critical
86,Custom Plug-in wizard ignores user input,minor
87,F1: A10.7: message is hard to notice,minor
89,"When creating the update.jar, the compile log should go to a temp folder",major
90,Runtime Workbench launcher wizard performance,major
92,building a plugin JAR should first create the destination folder,major
95,Runtime Workbench launcher always prompts to Save,major
96,Launch config: getting asked to save changes when there where no changes,major
97,Unable to start runtime-workbench,critical
98,Should not use mnemonics in main window,major
102,"No obvious indication of ""out of sync"", wasted time debugging wrong thing",critical
103,"Errors in the plugin.xml: no marker to say there is one, doesn't tell me where",critical
104,Incorrectly flagged error on xml,major
105,PDE should not wholesale reformat my plugin.xml,major
106,Source folders lost,critical
107,NPE trying to launch a run configuration,major
108,NPE on startup caused by duplicate attribute in a feature.xml file in workspace,critical
110,Preferences not working with import/export,critical
111,Starting a runtime workbench on c:\,blocker
112,'Restore defaults' on PDE launcher not persisted,major
113,Some schemas do not have expected types in 'class' attributes,critical
114,No repaints behind progress monitor in PDE editor,major
115,Creating a feature project where a feature project already exists overwrites feature.xml without warning,major
116,TVT2:Hard coded strings in PDE Source code Locations,critical
117,IllegalArgumentException when double clicking extension point in plugin.xml,major
119,"TVT2: Truncation on text of ""External Tool Builder"" panel",critical
120,TVT2 - Descriptions Truncate on new Extensions Wizard Page,minor
121,Term component still see when searching,minor
122,Cut/Copy/Paste do not work in the Feature Manifest Editor,major
123,New Fragment wizard throws null pointer exceptions,major
124,Non-Java project getting .classpath generated,major
125,New Extension Point wizard throws exception,major
126,Should call validateEdit() on plugin.xml editing,critical
128,Update Classpath attaches source from wrong Eclipse install,major
129,"""Invalid thread access"" when closing a project.",critical
130,NPE creating plug-in JARs,major
131,PDE Guide preference doc incomplete,major
132,Plugins from workspace not picked up by runtime workbench.,critical
133,GM5: Create Plug-in JARs documentation is misleading,major
135,Problem with Extension Point Schema Editor and External Projects,blocker
136,Can't change launch target,major
137,support for attribute colocation-affinity in feature manifest editor,major
138,PDE editor should grab focus when pressing a tab,major
140,NPE in PDE editor,major
141,Weird Cut and Paste behavior in plugin.xml editor,major
142,Can't use two launcher.,critical
143,Plugin Importer: No source attachments,major
