,summary,severity
0,"Adding ""CC"" field does not work",major
1,No 1998-09-04 Mozilla mentioned in Bugzilla when I select the Mozilla product !,critical
2,password filter is too picky,minor
3,"Can't call method ""prepare"" without a package or object reference error",critical
4,Patch to use DBI module instead of Mysql.pm,minor
5,new_comment.cgi allows blank lines and extraineous spaces,trivial
6,Need OS option of Win 98 in Bugzilla,major
7,Custom queries are not remembered.,major
9,Ability to search all fields,trivial
10,Would like to query URL field.,critical
11,bugs count charts are not displayed for products with spaces in the name,minor
12,Add TFV Field to Bugzilla,critical
13,Need a QA Assigned field in Bugzilla.,critical
15,Blank regexp expression not ignored,minor
16,passwords broken for 1 out of 26 people,major
19,Reopening bug leaves resolution,trivial
20,Bugzilla gets confused by news: URLs in Comment fields,minor
21,Need to add M8 and M9 availability in Target Milestone field.,critical
22,query.cgi javascript does not work on netscape 4.04 and 4.05,minor
23,Show login name at bug entry time / enter_bug.cgi uses invalid html,minor
24,Bugzilla refuses to accept attachment if it is very very big.,major
26,"Need more ""M""'s for Target Milestone",critical
27,Bug 5764 is invisible,blocker
28,I no longer get mailed when I change a bug!!!,major
29,"""nospam"" feature not case-insensitive",minor
30,problem with attachment MIME types,major
32,Please add NTO Platform and OS and possible Photon GUI if such a place exists,minor
33,Chart all bug states,major
34,Some new Bugzilla account requests not going through,blocker
35,buglist: summary and whiteboard fight for space,major
37,Add link to Bug Writing Guideline off Bugzilla main page,critical
39,duplicate isn't always resolved DUP when marking as such,critical
40,Message pointing to bug writing resources with passwd mailout,critical
43,Component descriptions are truncated.,major
44,Text overlaps,major
45,typo in defparams.pl,trivial
46,Unable to change several bugs at once to 'VERIFED' [Patch],minor
47,A Mail is sent more than once to a person [Patch],minor
49,Patch: New GD Perl module will not produce .GIF charts.,minor
50,Can't execute personal query.,major
51,Sort by votes should sort descending instead of ascending,minor
52,"CC list is a set, not an unordered list.",trivial
54,new users all unable to login: profiles.cryptpassword is NULL,minor
56,Win 98 not auto recognised.,trivial
57,Would like to sort Status Whiteboard Column,critical
58,Need to say bug.moz.org is for 5.x only.,major
59,Unable to perform personal query.,major
62,bugzilla form checking not robust enough,blocker
63,Bugzilla requires new login if IP changes,major
64,date and time in show_bug.cgi,minor
65,xyzzy in bugs cols in editversions.cgi when no bugs have been entered,minor
67,Need query for activity on bugs,critical
68,MM/DD/YY date format confusing to non-americans.,minor
70,query page Javascript disabled on IE,minor
71,some bugs got assigned to __UNKNOWN__,major
73,Should have some way to change the email account,blocker
74,The components for Documentation product show up twice...,major
76,Broken keywords/cc query.,major
77,editproducts has a bad datatype,major
78,Need keyword field to be available as a column to sort,critical
79,change several bugs at once and bug activity log,major
80,DUMMY,trivial
83,OpSys menu is horked,critical
84,"When adding a new component, the result page says ""Adding New Product""",trivial
86,Keyword field does not print out,critical
87,[regression]Can't do queries based on date of comments anymore,major
90,Instructions for installing the GD Perl module,minor
93,Keywords in advanced query are case-sensitive.,minor
94,"Accepting bug as assigned, list doesn't update",major
97,"<BLINK>This ""system"" is 'stress' `filled` & ``ugly''</BLINK>",trivial
98,"""now"" as from date in query gives internal server error",minor
99,Request for a nicer message when product unknown in enter_bug.cgi.,trivial
101,"""votes"" should not be a hyperlink",minor
102,status not kept in mass reassignment of resolved bugs,critical
103,Advanced query conditions on dependencies and CCs are ignored.,critical
105,Jammed quips,minor
107,Software error in Bugzilla when sorting by 'Importance',major
108,error generating footer for bug list,minor
109,Bugzilla displays attempted HTML links incorrectly,minor
110,Error 500 while searching for bugs changed by invalid user,minor
112,Extra newlines in comments made with NS4-Mac,major
113,Typo on page that garbles a sentence,trivial
116,"After viewing 'My Bugs', changes are made to wrong bugs",major
117,Query not returning any bugs with -- target milestone,critical
118,Status Whiteboard column should be wrapable for big long whiteboard strings,minor
119,New bug page: need to redirect NS6.0 users,major
120,enter_bug.cgi expects UA format some browsers don't deliver (IE),minor
121,Owner can't reopen bugs,major
122,"Bugzilla sidebar, containing info in footer",blocker
124,"""misspelled"" misspelled in description of ""trivial"" bugs",trivial
125,"show_bug.cgi: colon in ""keywords:"" not part of link",trivial
126,"enter_bug.cgi: colon in ""Severity:"" not part of link",trivial
127,Can't query properly on a product with an ampersand in it.,trivial
128,Query is busted.,blocker
129,[meta] untrusted content being sent or echoed to bugzilla users,critical
130,[SECURITY] attachments should be at a different hostname,major
131,Problem for bugzilla attachment.,major
132,process_bug.cgi doesn't check viewing permissions,critical
133,"There is a new UNCONFIRMED state, But You Already Knew That.",minor
134,Assumes user is coming from different page,trivial
135,Error message when no components are defined for a product.,minor
136,"bugzilla won't let me vote: ""Wrong login.  The login got confused.""",major
137,bugzilla does not show all of my bugs,major
138,Misleading title after stored query forgotten.,trivial
139,Don't allow HTML in quips,critical
140,"editkeyword.cgi - ""Keyword Added"" trailer needs Add link",trivial
141,"editcomponents.cgi - ""Component Added"" trailer needs Add link",trivial
