,summary,severity
0,Full Support for K & R C Style Function Declarations,minor
1,Function callers references sometimes point to statements.,major
3,R1:  Changing storage causes wrong byes to change,critical
5,Eclipse:  Modify variable in Monitor view doesn't update same in Variable View,major
6,R2:  Check validity of process id when trying to attach to a c/c++ application,major
7,editing read-only files,minor
8,Incorrect type info after remove parse info and reparse,major
9,Need support for function breakpoints,major
10,Command view history: piped commands,minor
11,searching a function,minor
12,filtering functions in the Project Details view,major
13,Enable Finish button in Command Specifications view,minor
15,C/C++ launchers not consistent with Java,minor
16,aliases in command view don't resolve,minor
17,Source from a dll cannot be located,major
18,Crash when opening file with C source,critical
19,"Unable to edit, lots of keys broken",major
20,Check-in Installer to CVS,major
21,"project creation wizard, build invocation lacking memory",minor
22,Parse persistence does not work,major
23,"Confirmation dialog does not show up upon ""Create/Update all automake files""",minor
24,Inconsistent highlighting length,minor
26,Remotely deleting a file that is currently opened by an editor,major
27,Debug UI:  Removing breakpoints failed when using the editor's context menu action,major
28,Debug UI:  Disabling breakpoint is not working remotely,major
29,R1:  Exception when trying to relaunch remote debug session,critical
30,Debug UI:  Adding a monitor from the Monitor's view local toolbar action is not working remotely,major
32,Debug UI:  Adding a storage monitor from the Storage's view local toolbar action is not working remotely,major
33,Fix up setting of Parse Quality and other Parse Properties..,major
34,macros should not have contents,major
35,Autoconf: Deleting a source file does not change the disabled generate confogure action to be enabled,major
36,Autoconf: Advanced create/update all automake files action is disabled when the project has no sub-directories,major
37,Strange elements in Parsed-files view,major
38,remote parse(jikes) never ends,blocker
39,"Label for ""Browse..."" button on ""Command Launcher"" view is truncated.",minor
40,Titles for  Parse views are incorrect,minor
41,"""includes/included by"" after a rename",major
42,New file created not shown in editor view,minor
43,"Exception when selecting a directory with name starts with a dot "".""",major
44,command specification wizard problems,minor
45,opening files with vi/lpex,minor
46,Folder renamed in C/C++ Projects view not updated in navigator view,major
47,Renaming remote project makes it impossible to access properties page and re-open project after restart,major
48,Handle non-alphanumeric characters for filenames in patterns.dat,minor
49,creating a remote project with invalid info,minor
50,Automatic parse upon resource modification(remote),major
51,parse behaviour/quality settings,major
52,preprocess null pointer exception when using autoparse,major
53,parser doesn't handle cancel,major
54,search is broken,major
55,"Upon creating a C/C++ project, the C/C++ prespective doesn't show anymore",major
56,R2:  gdbPicl can't handle the command response lines > 50000,major
58,Drawing Problem with large amounts of Command Output,major
59,Deleting project in C/C++ Perspective causes internal error,major
60,make clean doesn't work,major
61,inconsistent placement of folders in Projects view versus Navigator,minor
62,Internal error from running the application,major
63,Titles in run launcher dialog empty,minor
64,Command launcher history - should remove duplicates,minor
65,History for Debug Launcher's Program Parameters,minor
66,"First time Search Docs view is up, Enter key has no effect",minor
68,deselecting both Man and Info pages has no effect on the search,minor
69,Command specifications: order of entry should not be important,minor
70,"Can't debug ""executable"" built with shared libraries",major
72,unnecessary empty column showing in project Environment pane,minor
73,Exception occurred when shutting down Eclipse,major
74,UI ModelInterface extensions,major
75,Project does not recognize file as executable,major
76,Can't debug JNI,major
77,NoClassDefFoundError IDebugViewAdapter,major
78,autoconf actions use synchronized commands,major
79,"Change packet for Monitors not generated after command in ""Debug Console""",major
80,Run Launcher in CDT broken,critical
81,ElementMarker exception saving a new file...,major
82,Starting Debug Session fails,major
83,Path for epdc.jar from launcher is hard-coded,major
84,Run icon for executable fails to show up.,minor
85,CDT doen't work under WIN/CYGWIN,major
86,"C++ ""throw()"" code throws off source parser",major
87,Eclipse Hangs when opening an complex header file,critical
88,Cannot add any breakpoints,major
89,Class org.eclipse.cdt.internal.core.model.Include not fully implimented,minor
92,destructor inside namespace will hang eclipse,major
94,Building two projects wipes C-Build output,major
95,Writing backwards,major
96,win32 spawner not returning proper exit values.,major
97,Wrong execution context after stepping.,major
98,Eclipse hangs opening header with macro and non-virtual destructor,critical
99,Eclipse hangs opening header with macro and non-virtual destructor,critical
101,GPF when running CDT with J9,major
102,Double clicking a task puts cursor on the line after the problem,minor
103,C++ icon and wizard names in new Project dialog,minor
104,Install/Update CDT tells missing component,minor
105,Need to be able to add source paths to the debugger,major
109,Text Entry is Reversed in C++ Perspective,blocker
110,C editor cannot handle __inline,major
111,c++filt should be configurable on a per-project basis,minor
112,"NPE on toggling ""show print margins"" in C(++) editor preferences",minor
113,Cannot build over ssh,major
115,Eclipse goes Nirwana,critical
117,Register setting does not correctly update display.,minor
118,It's not possible to open .cpp or .h Files,blocker
119,It's not possible to start the Debugger ( reason: timeout ),blocker
120,Line Numbering shows up twice,minor
121,C Editor hangs Eclipse when opening simple C++ .h file,blocker
122,Debugger don't show Variables,blocker
123,Can't install latest CDT relase (1.0.1) on Linux GTK+,blocker
124,Invalid thread access,major
125,debugging finds wrong source files,major
126,"Wrong outline if static member contains ""Struct""",minor
127,Show line numbers,minor
128,Parsing failure on some files. No outline provided,major
129,Trying to open attached source code hangs Eclipse.,critical
130,Broken outline in winbase.h,major
132,Custom color dialogs prevent entering 3 digits,minor
133,Error recovery with unterminated string is weak,minor
134,Bad Line Ending handling on Linux & Solaris,minor
135,Stack Overflow in Debug UI,blocker
136,[Parser] QUICK_PARSE failures due to lack of context,major
138,installation bug,major
139,The using directive causes parser to fail,major
140,outline window doesn't show all functions,major
141,On RH8.0 eclipse(plus CDT plug-in) doesn't launch,blocker
142,Installation problem,major
143,org.eclipse.swt.SWTError: No more handles,major
144,download of CDT 1.1.0 for GTK corrupt,blocker
145,Problem with syntax highlighting of preprocessor directives,minor
146,[CModel] CModel/Outline Incorrect due to QuickParse heuristics,major
148,watching a global variable dont work in debug mode,major
151,Accessibility issues on C/C++ Preferences,minor
153,Sometimes the C build view is empty,minor
154,Tab size and spaces.,trivial
155,C/C++ Properties Page not accessible,major
156,Fully Qualified Names Needed,blocker
157,C-Build doesn't have an executable path.,major
158,Fields coming back as Vars,blocker
160,"Error 255 on ""make""",minor
161,"cpu property has value ""none"" for m68k-elf binaries",minor
162,"Parser is not searching the include path for #include""<name>""",major
163,makefile in tutorial won't build in Solaris,major
164,Dependent project is not rebuilt by Dependee,major
165,Can't build from C/C++ Projects view,major
166,"Adoptability: CDT lacks ability to specify the ""default"" build target.",major
167,Robustness: CDT hangs when using old binutils,major
168,Restore Default in Managed Build project's settings Not Working,major
170,QualifiedLookup succeeds where it should fail,major
171,New Managed C++ project builds empty makefile,blocker
172,New Managed C++ project builds empty makefile,blocker
175,Cannot search on cpp files,major
176,"Do Away With ""Enable dependency tree service for this project""",critical
177,Incremental builds for managed projects must be implemented,critical
178,Search: Ctrl+H should bring up C/C++ Search tab by default,minor
179,junit error on linux for indexer tests,major
180,Launching debugger fails with JDK 1.3.1,critical
182,Extraneous semi-colons in generated class methods,minor
184,Expression result types not computed,major
185,Make warnings (eg. clock skew) are treated as errors.,minor
186,Managed make doesn't refresh CProject view properly,major
187,[Managed Build] No test for X.c - X.cpp conflicts,minor
188,Managed Make: Default platform is always Cygwin Executable,major
189,Manage Make will try to generate makefile for Release or Debug directory,major
190,System .h's (like stdio.h) not recognized with Code Assist.,major
191,Search: Cannot find things after double declarations,major
192,remove the old parser from the 1.2 code stream,major
193,remove the Indexer tab from the Project property page,major
194,Search: cannot find beyond function body,major
195,"Managed build path properties don't recognize ""\""",major
196,Parser and Editor clients incorrectly use C rules on C++ files in C projects,major
199,[Search] cannot find things in stdio.h,major
200,Search: cannot specify relative search paths,major
201,require reference cleanup for expressions,major
202,Outline is confused on operator methods containing spaces,major
203,need to restructure TypeId to allow dynamic_cast<> type expression references,major
204,Dep Tree Persistence,critical
206,Fix update site to point to the right location,major
207,Symbol Table support needed to resolve types,major
208,ISourceElementRequestor.acceptParameterReference accesses internal class,major
209,Search: Cannot search for definitions of global variables,major
210,Managed c/c++ project types gone from New Project wizard,blocker
211,require ability to add in implicit inheritance copy constructors,major
212,Code Assist take a long time to find Classes in ManyClasses200 Project,major
216,Long workbench shutdown times,major
217,Cannot debug managed c++ project,major
218,No reference to static member in definition,major
219,isExtern not returning true for extern declarations,major
220,Standard Make targets don't build correctly,major
221,"Search class declarations called ""*"" fails on linux",major
222,No F1 help associated with the new managed project wizard,critical
223,Take out CTags Indexer,major
224,occassional JUnit failure for Search tests,major
225,Search:f_SD_01  cannot be found in ManyClasses20 Project,major
226,Platforms shown for non-host.,major
228,Convert to Make Project seems broken,major
230,Current Update Manager unacceptable for new users,major
231,Code Assist won't work if missing end bracket,major
232,Exceptions in indexer,major
234,Makefile editor - ifndefs contents not nested in outline view,minor
235,Code Assist hangs,critical
236,Cannot Create Project when only CDT+Managed installed,major
237,CDT 1.2 does not work on Eclipse 3.0,blocker
239,Managed Build does not build on Solaris and Linux,major
242,C files are compiled with the C++ compiler,major
244,Managed Make: Include paths propagated to other projects,major
245,deleting/moving file breaks search,major
246,Scanner failure on #undef,major
247,"NPE when linking ""standard build"" library to ""managed build"" project",major
248,Exception generating makefile in managed make,blocker
249,spaces in workspace cause managed projects to fail build,major
250,Managed: Empty dependent project causes infinite loop,critical
251,subdir.dep not updated if saving including file before included,major
252,Cannot change Build properties after renaming project,major
253,Make Target view can cause dead lock with UI Thread,critical
255,Makefile editor - highlighting issue with target contents.,trivial
