,summary,severity
0,"Cookie Manager: ""Don't allow sites that set removed cookies to set future cookies""  should stay checked/unchecked",minor
2,"When in full screen mode, Alt+letter keystokes permanently kill menu",minor
3,View Image context menu item omits referrer,minor
4,Canceling a file save fubars a .cgi page until Mozilla is relaunched,major
5,tabs close in the wrong order (right to left),minor
7,second window opens mozilla,major
8,"Open Personal Toolbar folder in toolbar, continue to hold mouse button, select bookmark -> nothing happens.",minor
9,Cannot File > New Bookmark while managing a new/empty folder,minor
10,"[Moz] Cannot set ""Imported IE Favorites"" to default personal toolbar folder",minor
13,Changes to get OS/2 building,major
14,Address/Location bar not showing up.,major
15,[cust] Creating a new toolbar with same name as standard toolbar should give an error,minor
16,Edit -> Preferences == Freeze,critical
17,Needs to be more space between toolbarbuttons,minor
19,crash on http://www.salon.com,critical
21,Phoenix Quits When Attempting to Access MyCheckFree.Com,critical
22,tweaking of the View menu,minor
24,Focus Search bar shortcut not compatable with foreign keyboard layout,minor
25,Sidebar does not persist state across sessions,minor
26,crash when closing main window browser,critical
28,Location bar disappears after drag and release in customize toolbar mode,minor
29,Crash when quickly trying to select sites from URL bar while typing URL [@ gkcontent.dll ],critical
30,autocomplete popup doesn't appear when manually prepending http://,minor
31,the browser crashes if you open the link (no java plugin),critical
34,Login for forum unsuccessful.,major
35,Phoenix crashes when opening preferences menu if download dialog is open,major
38,Phoenix doesnt shut down after being closed,major
39,"dragging bookmark folders into toolbar and clicking will not expand the folder,just a placeholder with nothing",minor
40,linux debug build crash with context menu on menupopup,critical
41,Bookmarks do not show up in the menu,major
43,[cust] Use Small Icons loses its value when selecting Text,minor
45,"most of the bookmarks disappeared, no bookmarks shown on toolbar",major
47,click on very top of drop down box submits partially typed url's,minor
48,imported bookmark tab-group doesn't work like new phoenix bookmarks folder,minor
50,"Is it ""Bookmarks Toolbar"" or ""Personal Toolbar""?",trivial
51,Bookmark icons and folder icons are hard to distinguish,trivial
52,"""View in tabs"" crashes Phoenix when used in Quick Search folder",minor
53,enhance view -> text size menu (was: no clear way to get text size immediately back to 100%),minor
54,dialogs too big,major
55,history button next to back button is too large (and/or much larger than it looks),minor
56,Plugins cause phoenix to b0rk,critical
59,Bookmarks Toolbar Icons are corrupt,trivial
61,Phoenix 0.3 crashes when rendering the example URL in a narrow window,critical
62,Customization disabled when menubar removed,major
63,Loading links in background tabs should work for bookmarks,minor
64,Dragging url into bookmark subfolder and dropping it just above the separator over 'open in tabs' causes the new bookmark to display as a separator.,minor
65,Spacing between tabs differs depending on number of tabs,minor
67,crash upon clicking a link to a pdf file UNRELATED to the acrobat plugin,critical
68,"multiple ""Open in Tabs"" menu items when dragging bookmark",minor
69,file:// bookmarks do not have icons,trivial
70,Context menu for toolbar customization missing in menubar and bookmarks toolbar,minor
71,click on customize toolbar=seize up,major
72,network.cookie.enableForCurrentSessionOnly doesn't work,major
73,Toolbar customization (temporarily) breaks bookmarks toolbar overflow,minor
74,ctrl-enter www.*.com in location bar can not be undone,minor
76,SSL 'invalid certificate' dialog wrong size,minor
77,Current URL Does Not Show In URL Line,major
78,Phoenix crashes in forum,critical
79,Chevron appears when the last item on the toolbar is a bookmark folder,minor
80,"In full screen mode, min, max, close appear on left of toolbar instead of right",minor
82,"turning off ""hide tab bar ..."" has no effect until new tab/window is opened.",minor
83,Google Failed Search Causes GPF,major
84,No defaults for #ifdefs in DTD files cause platforms not to come up,major
86,About box has scroll bars in the UA text box,trivial
88,right-click on URL Bar re-selects whole URL,minor
89,Alt-d address bar shortcut doesn't work with caps lock on,minor
90,Chevron box not updated when renamed bookmarks exceed/under-run the Bookmark Toolbar,minor
91,[cust] When dragging a text-entry item no text editing should be allowed,minor
92,Crash when opening html document.,critical
93,Once i have logged in crash when I ask for the game in html format,critical
96,"every other launch of phoenix has blank sidebar, no p.t.",critical
98,location toolbar is blank/missing,major
99,Bookmarks-toolbar-part with folders can get into a resize-loop when on the menubar,minor
100,Phoenix crashes on startup even after removing profile,critical
101,Setting home page by dragging a URL to the home page button does not save,minor
104,the links to the class scehedule will not open.  it only clicks and nothing,major
106,using accesskey to move focus doesn't cancel autocomplete,minor
107,Missing  queryCharset in google.src,minor
108,"wrong Version reported in Windows ""Properties"" dialog box",minor
110,Bookmark Toolbar Folder does not stay where it is moved,trivial
111,20021122 Phoenix/0.4 does not use customized preferences,major
112,Address bar problem,critical
113,Little bars of scrollbars are wrong,minor
114,address bar icon (favicon) changes to the default icon,minor
115,"Going to the image, right-clicking, and choosing save-as leads to infinite loop + mem bloating.",major
