,summary,severity
0,Newsgroup postings don't linkify newsgroup header (like 4.x).,minor
2,Extremely long subject cause that body panel doesn't appear - sanity check subject length,minor
3,Go|Next|Starred  Go|Previous|Starred (was Flagged) message shouldn't be grayed out (standalone message window),minor
4,Crash opening the address book after editing the history.mab file -TBTrunk [@ nsAddrDatabase::UpdateLowercaseEmailListName ],critical
5,remove session-logout code from mailnews,trivial
9,Thunderbird/About Thunderbird menu item doesn't function,minor
10,Remote images ALWAYS loads regardless of privacy/security settings,major
11,Can't add or save attachments - thunderbird on Solaris,major
13,"Problem with ""View Image""",minor
14,Compose Window's Attachment box focus indication is flawed,minor
15,"""View""-combobox unusable with mouse. Selecting with keyboard crashes",critical
16,Almost any e-mail encoded in Russian/Hebrew is shown with question marks instead of letters,major
17,"""Save as"" doesn't work",major
18,"HTML-MAIL, viewer does not jump to local fragment id's",major
19,crashes when manual moving messages to junk folder,critical
20,Address book crashes when validating a card modification,major
21,Moving Message Compose Window disables writing,major
24,Crashes after I select OK after making changes to properties of an address,critical
28,"when trying to edit an address card, the window that pops up is awkwardly resized.",major
30,Thunderbird crashes when i select an address book i added,critical
32,Outgoing plaintext messages are not wrapped,major
33,"Checkmark on ""View|Toolbars|Mail Toolbar"" is set when the Mail Toolbar is hidden",trivial
35,Localstore.rdf not always created if missing ==>  UI Customizations don't get saved.,major
36,Program freezes when opening large (over 100K) messages,critical
37,"""View > Sort by"", ""Messages"" and ""Threads"" sub menus are enabled when account in folder pane is selected",minor
39,Running Junkmail filter on Folder only marks the first Spammail in folder,major
40,mail bod does not render in pop3 accounts. works fine in imap,major
44,formatting toolbar gets disabled when selecting any drop-down list,minor
45,OS X Drop-down menu oddities,trivial
46,Cannot retrieve POP mail with userid containing at-sign (@),major
47,"While composing a new email, en the menu FORMAT > SIZE, no matter which option I choose, the text is displayed correctly, but it is marked incorrectlly with the DOT on the menu.",minor
49,UI Enhancements:  Unity with Firebird,trivial
50,Old junk icon still being used in menus,trivial
51,Thunderbirds do not save Draft  with IMAP Client,major
52,cursor sticks (hangs up or freezes) when keying in message body data,major
53,Exiting the compose window closes Thunderbird,major
54,Inconsistent accesskeys for Add/Remove buttons on Send Options dialog,trivial
56,Thunderbird crashes when spellchecking e-mails,critical
57,Can't display Newsgroups's .JPG attachments Inline,major
58,UI alignment issues in default theme,trivial
61,HTML message body doesn't display,major
62,Address book entries corrupted (missing first names),major
63,Extensions Managers too small,trivial
64,Advanced section of preferences a little bit too wide for default prefs window width,trivial
67,Check for new messages every XX minutes doesn't work for NewsGroups,minor
68,"Compose window should be renamed to ""Write"" for consistency",trivial
69,all attachments freezes thunderbird,critical
70,Cannot open attachments from within Thunderbird,major
71,"clear filter (and spam) log doesn't appear to work, you have to close and re open the dialog",minor
72,Deleting the last e-mail of a folder doesn't erase the preview  window,minor
73,"There is no keyboard shortcut to select/unselect folders in the ""Items for offline use"" dialog",minor
75,"""email"" button in a card's display is shown a few pixels too close to the previous line (name)",trivial
78,In address book the scroll bar of the entries section shows and hides fast and continously when: the section height is equal to the list in that section,minor
79,File option of Search Messages dialog causes crash on exit,critical
82,Unable to connect to server (not a valid IMAP4 server),major
84,Thunderbird 0.2 cannot start after install AddressContext Extension (v2),critical
85,Unable to open attachments off IMAP server,major
86,IMAP Folders  not being downloaded,major
87,File toolbar button does not work until Thunderbird is restarted,minor
89,'New Folder' window unsubmittable from Message Filter editor,minor
90,Change of Window Configuration affect on Character Coding,minor
91,"After attaching a file, resizing the attachment pane will crash the program.",critical
92,Unable to set up IMAP over SSL using the New Account Wizard,major
93,imaps only account does not show email,major
95,yahoo pop mailbox corruption in thunderbird,major
97,"Thunderbird filter on ""sender"" actually filters on ""from""",major
100,"mouse ""lag"" between the folder and list of mail, also in redimensionning size of visual message",minor
102,expanding newsserver node leaves new-msg count of first group not updated,minor
103,"many imap folders not displayed, one named incorrectly",major
106,Several images in HTML mail are not rendered,major
107,Bugfix for 89212 kills account settings prefs,major
109,need a scrollbar on the envelope panel (view all headers / long address lists),minor
112,Multiple attachments cause excessive size in attachments pane,major
113,crash (internal error with JVM manager) opening messages with certain viewable attachments when Java plugin enabled,critical
114,Thunderbird tries to open URLs when open,major
115,"When sorting mail by ""Order Received"", no sort icon is displayed",minor
116,TB 0.3 -- Delete key on keyboard doesn't work and freeze the layout,major
117,Password Dialogs not hiding typed password,major
118,"A news (NNTP) error occured : No valid news groups in ""some.news.group""",major
119,NNTP error causes thunderbird to hang,critical
120,"Spam filtering badly broken in Thunderbird 0.3, works fine in Mozilla 1.5 on a Windows 2000 PC",major
122,Downloading large a large number of headers for news (NNTP) causes hang,critical
124,ThunderBird freeze when i try to add an attachement,critical
125,Multiple accounts against same server can't be created.,major
126,"Default value for customize toolbar is displayed as ""icons""",minor
128,"The message was sent successfully, but could not be copied to Your Sent folder.",major
130,stray ^M characters in mailWindowOverlay.xul and messengercompose.xul makes build fail,blocker
131,Crash (page fault) in SOFTOKN3.DLL when trying to send a mail.,critical
132,Unsaved window size after being changed for Tools -> Options window,trivial
133,Thunderbird won't start most of the time,blocker
135,Only one of two identical SPAM get filtered,minor
136,DMG not mountable,blocker
137,thunderbird does not recognize mission control preferences,major
138,Thunderbird partialy freezes when checking mail of one account and selecting folder bolonging to different one,major
139,Composing messages with flakey internet connection looses messages,minor
140,SMTP settings of removed mail account are used after account is removed instead of correct one,major
141,Capital R is eaten by Thunderbird,major
142,Import of an Outlook 2003 address book crashes the program,critical
143,update menu for standalone window,minor
145,opening attachment crashes thunderbird,critical
146,Bugfix for bug 64230 break account settings display,blocker
148,"Replying: Ctrl+Shift+R works, Ctrl+R does not",major
150,Selecting message in mail list causes crash: suspected cause is Winmail.dat attachement,critical
151,Junk Mail status lost when moved by Junk Mail Controls,major
152,Read receipt confirmation for re-viewing a messege after messege has been read and confirmed.,minor
153,PDF file attachment corruption,major
154,WinXP manifest resource contains alien strings,trivial
155,"With 9 profiles, some disappear in manager",major
157,folder menus don't show icons,minor
158,Sample screenshot / image of default Qute theme needs to be updated,trivial
159,reading imap messages fails: The body of this message has not been downloaded from the server for reading offline.,major
160,thunderbird crashes when trying to read an email with attached web page,critical
161,Deleted messages in IMAP-folder remain on server (but marked as deleted),major
163,Sort icons on thread pane column headers are inverted (wrong on windows),minor
166,subfolders missing from folder list,major
167,thunderbird disapears trying to access attachments preferences pane,critical
168,AIX: Thunderbird fails to build because of redefined macros,major
170,mark search result as junk crashes app,critical
171,No Help available when pressing the message filter help button,minor
173,"Copy/Paste into compose window results in bitmap paste, not text.",major
174,Forwarded As Attachment morphs forwarded message into base64 on OS X,major
176,"Thunderbird hangs on launch locking up OS 10.3 Panther, an upgrade install done today",critical
177,Notification not going off when emails arrive in sub-folders by server side filtering,major
178,CPU utilization grows as TB is open - gradual increase,major
179,"when I start the thunderbird 0.4 it crashes, if I start regxpcom.exe before, it seems to be good.",critical
180,crash when scrolling in an email,critical
182,clicking mailto: link crashes Thunderbird on Mac OS X [@ AddExtraWindowsToGroup],critical
184,"[import] Importing mail messages from Eudora stops after a little time, without any message, then crashes [@ ntdll.dll - nsEudoraCompose::ConvertSysToUnicode ]",critical
185,shift+forward should toggle html/plain text,minor
186,Download link is missing if truncated emails are moved to local folders,major
188,There is no way to set the default mail composition format to be plain text,minor
189,programme not closing correctly,critical
191,Thunderbird crashs when 't'-ing through LKML (as a new group),critical
193,Unable to bring up a compose window in debug builds,critical
196,"Thunderbird ignores many of mimeTypes.rdf entry copied from Mozilla, even though mimeTypes.rdf is empty and no way to define mimeTypes.rdf entry.",major
199,thunderbird crashes on startup,critical
200,crash when using comma inside newsgroup header,critical
201,bringing up context menu repeatedly using keyboard Control+Spacebar crashes thunderbird [@ nsMenuPopupFrame::AdjustClientXYForNestedDocuments],critical
202,Can't subscribe to imap folder or newsgroup,major
204,"misidentified message does not move from the junk folder to the inbox.  When attempted, program freezes and must be restarted.",major
205,Custom toolbar changes priority without user requesting,minor
206,From: no email address,major
207,Cannot use e-mail address with different domain name from POP3 server's,major
208,thunderbird 0.4 doesn't work with some smtp servers and my personal mail server on localhost,major
211,make delete normally only apply to the threadpane - too easy to accidentally delete folder,major
212,Platform specific prefs in Thunderbird are missing?,blocker
213,Error message while sending an email with any smtp server.,major
214,Crash when sending mail with ctrl+enter keystroke,critical
215,Thunderbird crashes trying to open Novarg virus,critical
216,open drafts discarded without prompt on shutdown,major
217,Crash when download mails,critical
218,crash if i open an recieved mail from an outlook/OE user,critical
219,spell checker broken,blocker
220,When Thunderbird is open Firefox will not open.,major
221,multi-message selection: mark as read timer not cleared,major
222,"Junk Mail Controls dialog bug when deselecting ""Move incoming messages""",minor
224,Thunderbird password manager does not ask for master password but still logs in to IMAP and POP3,major
225,User defined notify sounds don't work,major
226,subject/from/date/to text not lined up in preview pane,trivial
227,toolbar button jumps when marking a message as junk (or not junk),trivial
228,Can't add new mail accounts,major
229,"when checking for new mail, occasionally I'm receiving already received mail as new mail",major
231,Building process while compiling in NsModule.cpp - related to bugfix for bug 182928 ?,blocker
233,Crash when i reply to sender with an attachment on an email.,critical
234,Font size selector appears blank in Options | Font Settings,minor
235,"Creating a filter with ""New folder"" greys out  ""OK""",minor
236,sorting in threaded view unexpected after pressing the date column,minor
237,messages moved to folder during offline re-appear in inbox (imap),major
238,Can not receive mail - folder is processing - for four days now.,critical
239,Thunderbird panes remain empty intermittently,major
242,"Missing DTD errors, unable to start thunderbird",blocker
243,Cannot receive mail - Get Egg timer cursor for ages.,major
244,"Some attachments are encoded as appledouble [text.txt, word.doc] Can't send/receive msword .doc attachment: null byte in message; appledouble error copying to sent folder",major
247,crash when in attachment file dialog (save attachemnt/attach file) in directory containing long filenames with invalid unicode characters,critical
248,Missing option to set Thunderbird as default news application,major
250,"Spam filter ignores messages in address book, but Thunderbird by default adds all email addresses to personal address book",major
251,Thunderbird crashes while composing a new plain text message,critical
253,crash if i do an undo after deleting a message,critical
255,preview pane and selected message differ,minor
256,"""Use theme"" doesn't happen after install",minor
258,"attachment ""save as"" does not work - double click, then save works",minor
260,TB09 crashed after cancelling message send operation [@ nsQueryInterface::operator()],critical
262,common message selection via Ctrl+Space doesn't work,minor
263,Switching folder causes Thunderbird to crash,critical
264,Tools - Options - Attachments hangs,major
266,Thunderbird crashed as I quit,blocker
267,Small gap in Subject/Sender/Date/etc. bar; changes when drop-down at right is opened.,trivial
268,mail sent to wrong server,major
269,[Pinstripe] Autocomplete pop-up menu entries aren't highlighted on focus,minor
274,Try to saving some MS office attachement crashes Thunderbird,critical
275,Block loading of remote images lets TD backgrounds through,major
277,corrupted download file : http://ftp.mozilla.org/pub/mozilla.org/thunderbird/releases/0.5/thunderbird-0.5-macosx.dmg.gz,major
278,Installer doesn't set the PathToExe registry entry,major
279,Marking Message as Junk Hangs Thunderbird,critical
280,Crash in mail.dll when checking mail - TB073 [@ nsTransform2D::SetToIdentity ],critical
281,Clicking On Mail Filter Edit Causes Crash in MAIL.DLL,critical
283,sometimes when closing thunderbird after long use it crashed at exit.,critical
285,attachment not visible until message loaded,major
289,Folder names with non-ascii characters in them displayed as garbage,major
290,crash at 0x00706d68 NSGetModule + 0x2374 when selecting messages in INBOX,critical
292,TBird crashes while loading Outlook addresses,critical
293,compile error on linux platforms on tbird .6 branch,blocker
294,"when viewing message source, the menu option Edit --> Select All does not work.  Using the keyboard shortcut key Ctlr + A does without issue.",minor
297,Include attachment fails in OS/2 version,major
299,Loose security device (PKCS11) after close app,major
301,Help menu should conform to Apple Human Interface Guidelines,minor
302,Popup menu highlight is blue when system is set to 'Graphite',trivial
303,"Typing F, N, T, B, P, M, C, R, J in dialog boxes causes menus to flash",minor
307,Crash when offline search a newsgroup with criteria 'body (doesn't) contains'  [@ nsMsgSearchTerm::StripQuotedPrintable],critical
308,Keyboard shortcut for 'search messages' (Shift-Ctrl-F) doesn't work on Linux,minor
312,Thunderbird Nightly will not load or display,critical
314,Crash on Mac OS X when sending e-mail,critical
315,filename of attachment is truncated at the first # (numbersign) or ; (semicolon),major
316,Default field if to is already filled in: subject instead of body,minor
318,Thunderbird freezes / crashes after inactivity,critical
320,unable to read new mail when viewing inbox,major
321,Build process is killed after making libmail.so (AVIARY_1_0_20040515_BRANCH),blocker
323,File->Compact Folders doesn't work,minor
324,"Drafts, Sent and Templates are not saved if the target folder is a shared folder",major
325,If dropping a file to attach elsewhere than the header of the mail thunderbird crashes,critical
327,"[trunk]Dragging attachment to new mail opens attachment  area, but doesn't attach file",major
328,'Random' subscription to mail folders not selected for subscription,major
329,"Change in Image Loading policy broke ""Save Image As""",major
330,[PATCH] To add a File->New->Window menuitem and remove doubleclick in folder pane opens a new window,minor
331,"[OSX, AVIARY_BRANCH] build error(link error on thunderbird-bin)",blocker
333,"Crash when I reload the page that is linked to the DOM Inspector, and then click the Inspector",critical
334,Don't save the port number of an IMAPS server when it is not the default port (993),major
336,"[OSX, AVIARY_BRANCH]thunderbird cannot be used. And It cannot exit.",blocker
338,delete toolbar button is disabled if focus is not in message list pane,minor
339,"About Mozilla Thunderbird or About Thunderbird, pick one",trivial
340,Thunderbird crashes when clicking on messages.,critical
341,"""Compose messages in HTML format"" in won't un-check. can't compose in plain text.",major
342,Latest 0.7 Installer is NOT,blocker
343,Crash checking for new IMAP messages [@ OnCreateServerSourceFolderPathString],critical
344,no obvious way to open address book without using mouse,minor
345,Interface missing to setup movemail account,major
348,can't install 2 themes,major
350,Spell checker doesn't work,major
351,Thunderbird does not load remote images,major
